date,watch,working,games,video games,can't sleep,isPartial
2015-06-01,35,9,47,1,0,False
2015-07-01,36,9,62,1,0,False
2015-08-01,38,10,37,1,0,False
2015-09-01,35,10,35,1,0,False
2015-10-01,38,10,37,1,0,False
2015-11-01,37,10,42,1,0,False
2015-12-01,40,10,46,1,0,False
2016-01-01,36,10,34,1,0,False
2016-02-01,35,10,33,1,0,False
2016-03-01,34,10,34,1,0,False
2016-04-01,32,9,30,1,0,False
2016-05-01,31,9,31,1,0,False
2016-06-01,31,9,31,1,0,False
2016-07-01,29,9,29,1,0,False
2016-08-01,30,9,37,1,0,False
2016-09-01,29,9,27,1,0,False
2016-10-01,32,9,30,1,0,False
2016-11-01,33,10,33,1,0,False
2016-12-01,35,10,39,1,0,False
2017-01-01,32,11,31,1,0,False
2017-02-01,31,10,30,1,0,False
2017-03-01,30,10,32,1,0,False
2017-04-01,30,10,30,1,0,False
2017-05-01,27,9,28,1,0,False
2017-06-01,27,9,29,1,0,False
2017-07-01,30,10,26,1,0,False
2017-08-01,33,9,28,1,0,False
2017-09-01,29,10,28,1,0,False
2017-10-01,30,10,29,1,0,False
2017-11-01,30,10,31,1,0,True
