date,watch,zolpidem,Lunesta,Intermezzo,trazadone,isPartial
2013-02-01,86,0,0,0,0,False
2013-03-01,83,0,0,0,0,False
2013-04-01,76,0,0,0,0,False
2013-05-01,75,0,0,0,0,False
2013-06-01,80,0,0,0,0,False
2013-07-01,85,0,0,0,0,False
2013-08-01,85,0,0,0,0,False
2013-09-01,81,0,0,0,0,False
2013-10-01,85,0,0,0,0,False
2013-11-01,87,0,0,0,0,False
2013-12-01,93,0,0,0,0,False
2014-01-01,93,0,0,0,0,False
2014-02-01,93,0,0,0,0,False
2014-03-01,93,0,0,0,0,False
2014-04-01,89,0,0,0,0,False
2014-05-01,87,0,0,0,0,False
2014-06-01,88,0,0,0,0,False
2014-07-01,83,0,0,0,0,False
2014-08-01,82,0,0,0,0,False
2014-09-01,78,0,0,0,0,False
2014-10-01,80,0,0,0,0,False
2014-11-01,83,0,0,0,0,False
2014-12-01,90,0,0,0,0,False
2015-01-01,82,0,0,0,0,False
2015-02-01,83,0,0,0,0,False
2015-03-01,83,0,0,0,0,False
2015-04-01,79,0,0,0,0,False
2015-05-01,73,0,0,0,0,False
2015-06-01,72,0,0,0,0,False
2015-07-01,73,0,0,0,0,False
2015-08-01,78,0,0,0,0,False
2015-09-01,72,0,0,0,0,False
2015-10-01,77,0,0,0,0,False
2015-11-01,75,0,0,0,0,False
2015-12-01,80,0,0,0,0,False
2016-01-01,73,0,0,0,0,False
2016-02-01,71,0,0,0,0,False
2016-03-01,68,0,0,0,0,False
2016-04-01,65,0,0,0,0,False
2016-05-01,63,0,0,0,0,False
2016-06-01,63,0,0,0,0,False
2016-07-01,59,0,0,0,0,False
2016-08-01,61,0,0,0,0,False
2016-09-01,60,0,0,0,0,False
2016-10-01,66,0,0,0,0,False
2016-11-01,67,0,0,0,0,False
2016-12-01,71,0,0,0,0,False
2017-01-01,65,0,0,0,0,False
2017-02-01,64,0,0,0,0,False
2017-03-01,61,0,0,0,0,False
2017-04-01,60,0,0,0,0,False
2017-05-01,56,0,0,0,0,False
2017-06-01,55,0,0,0,0,False
2017-07-01,61,0,0,0,0,False
2017-08-01,68,0,0,0,0,False
2017-09-01,59,0,0,0,0,False
2017-10-01,60,0,0,0,0,False
2017-11-01,60,0,0,0,0,True
